,text,score,magnitude
0,"outofjob actor kartika sahoo sells vegetables odisha survive lockdown
",0.0%,0.0%
0,"southcarolina healthcare leaders hospitals filling cases continue climb coronavirus…
",-30.0%,30.0%
0," ‼breaking‼ share everywhere admit asymptomatic person sy…
",-30.0%,30.0%
0,"andrewmlangeni memorial myanc urges mourners adhere regulations motsomodise…
",0.0%,0.0%
0,"fiji active cases novel 
",10.0%,10.0%
0," new cases reported delhi past  hours taking total number cases to…
",-30.0%,30.0%
0,"barcelona legend xavi hernandez tested positive head coach qatars al sadd said soc…
",10.0%,10.0%
0,"riseandgrind help others cope ifollowback
",20.0%,20.0%
0,"rahulgandhi government rajasthan poor pro look kind slum sitting what…
",-80.0%,80.0%
0,"active cases assam india increased  last  hours  per hour data mohfw goi
",0.0%,0.0%
0,"rayban every business dealing far worst experience keeping w…
",-70.0%,70.0%
0,"university kentucky working somerset community college create new advancements mask filtrati…
",20.0%,20.0%
0,"safely restart nonemergent essentialsurgery pandemic join  edt o…
",20.0%,20.0%
0," express entry draw figures july  draw immigration experts     …
",0.0%,0.0%
0,"got brain tickled test told check questdx’s website results l…
",-20.0%,20.0%
0,"lucknow cmo dr narendra agarwal replaced dr rajendra kr singh immediate effect lucknow…
",30.0%,30.0%
0,"ladies date ur mate ull hear one babe knees  cause called boyfriend ode…
",-70.0%,70.0%
0,"love wicked 🤷‍🤷‍🤷‍🤷‍ rihannaxtiwa alreadyvideo obasekiflagsofftoday odikwabyblaqdee …
",90.0%,90.0%
0,"arrington dr fauci hospital frontline workers kept working daily quarantined everyone…
",-20.0%,20.0%
0,"heres  startups businesses use technologies expertise fight pandemic…
",20.0%,20.0%
0,"youre allowed start small  flattenthecurve
",-30.0%,30.0%
0,"wearing sunscreen whole year see kills first
",-40.0%,40.0%
0,"since andaman tourism isn’t opening there’s income asked police tell crime could commit j…
",-70.0%,70.0%
0,"open access gp essay mobile phone apps fail vulnerable tracing pandemic tech…
",-40.0%,40.0%
0,"trump cared much protecting adults school children pandemic protec…
",10.0%,10.0%
0," nikolovscience still thing distinct
",0.0%,0.0%
0," countries reported disruptions childrens immunizations decades progress …
",-60.0%,60.0%
0,"connecticut’s total prison jail population dropped another  low   since march …
",-40.0%,40.0%
0,"running balance get smart number recharge online stayhome care smart
",30.0%,30.0%
0,"online retail sector busier ever since outbreak  easy steps improving y…
",70.0%,70.0%
0,"really dont wanna miss  alreadyvideo rihannaxtiwa obasekiflagsofftoday …
",60.0%,60.0%
0,"speed spread unprecedented due subtle black energy negative ener…
",-40.0%,40.0%
0,"retail stores really limiting hours deep cleaning limit wages
",-60.0%,60.0%
0,"relief temporarily allowed students stop making payment set expire september  this…
",-30.0%,30.0%
0,"rss meet discusses bhoomi pujan ram temple indiachina standoff issues amid crisis sources…
",0.0%,0.0%
0,"andhrapradesh arogyaandhra andhra pradesh  new positive cases  new discharges  ne…
",10.0%,10.0%
0,"safetyfirst world brands offer customer experiences ensuring wellbeing convenience set themsel…
",40.0%,40.0%
0,"weekends leadership reading workplace future
",40.0%,40.0%
0,"uae started inviting volunteers worlds first phase iii vaccine clinical trials heres how…
",20.0%,20.0%
0,"miss duty story noman saghir doting father lab technician one o…
",-50.0%,50.0%
0,"standardnews see borisjohnson conservatives world beating test track trace system whi…
",-50.0%,50.0%
0,"surely carried correct risk assessments allow children play football also are…
",0.0%,0.0%
0,"business decision using medical career make decision nfl
",10.0%,10.0%
0,"causes smell loss neuroscience news
",-80.0%,80.0%
0,"realdonaldtrump let flow
",-40.0%,40.0%
0,"amazing nedbanksport using officialpsl partnership period provide knowledge an…
",90.0%,90.0%
0,"voting trump isn’t backtracking views cares he’s get m…
",-70.0%,70.0%
0,"revovered corona bve plasma donor interested donate plasma dm urgently required kashmir srinagar
",-20.0%,20.0%
0,"due overflow hospital capacity patients starr county texas committee deem pat…
",-30.0%,30.0%
0,"mama’s corona third generation owner irene debenedittis encouraging workers treat customers “lik…
",-50.0%,50.0%
0,"many us institutions forging ahead oncampus inperson classes activities fall terms making…
",0.0%,0.0%
0,"kaga maga please kills dont fall lie vaccine would way  ask happens me…
",-70.0%,70.0%
0,"anyone know dutch government still legally mandate parents send children school c…
",-40.0%,40.0%
0,"andhrapradesh  new cases  deaths  samples tested  discharged e…
",-10.0%,10.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"compared rest california labor force asian americans high school…
",-40.0%,40.0%
0," australian open smaller crowds player biosecurity ausopen 
",0.0%,0.0%
0,"obese excessively overweight increases risk severe illness death novel coronavirus…
",-70.0%,70.0%
0,"animsxavi much strength idolo
",40.0%,40.0%
0,"guys party isthisserious gambia salieutaal farageloubna…
",0.0%,0.0%
0,"okay can’t visit granny nursing home even doors visit
",-30.0%,30.0%
0,"inline uks goals towards promoting quality mentorship opportunities young persons  onaboluyvonne w…
",50.0%,50.0%
0,"face covering policy created guidance onstaff corporate medical team public health offic…
",0.0%,0.0%
0,"get it’s unlikely experts whats problem…
",-30.0%,30.0%
0,"summer  garden party time  weather gardenparty
",30.0%,30.0%
0,"stayingupszn ask katiehopkins lufc
",10.0%,10.0%
0,"billmaxwell yes vote member gop six months later nothing votebluetoendthisnightmare
",-60.0%,60.0%
0,"wear mask stay safe keep others safe besafe peraktbg abstraxmax puma pumaone…
",30.0%,30.0%
0,"pawankalyan resuming movie shootings latest interview janasena powerstar vakeelsaab
",0.0%,0.0%
0,"realdonaldtrump   million cases millions unemployed trumpviruscatastrophe…
",-10.0%,10.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"know one could foreseen uk would far better position lo…
",-50.0%,50.0%
0,"yesterday leftytossers attacking boris pointing obesity negative effect victims ar…
",-70.0%,70.0%
0,"wit econs meltdown bcos wit battered state purchasing power citizens wt rising pove…
",-70.0%,70.0%
0,"yestwrday friend’s brother died zimbabwe  called ambulance  came 
",-10.0%,10.0%
0,"ahmedabadrain finally looks rainy season started  may doesn’t brings hike infec…
",0.0%,0.0%
0,"children affected infected dying florida reopensafely reopeningschools health …
",-70.0%,70.0%
0,"history account dead also wicked govrondesantis
",-20.0%,20.0%
0,"ants may pesky creatures turns could learn thing two sophnaama writes what…
",-60.0%,60.0%
0,"government slow act even admit followed lead hard f…
",-80.0%,80.0%
0,"observations day  mandatory face masksim seeing lot chin masks people walking around wi…
",-40.0%,40.0%
0,"delhi update jul  new cases  total  july   total deaths  total  disch…
",-50.0%,50.0%
0,"congratulations jeff bezos uk government managed make shopping high street even less appeali…
",-20.0%,20.0%
0,"catalonia spain reports  new cases 
",0.0%,0.0%
0,"don’t maskjust ask provide one ask contribution west midlands air am…
",-50.0%,50.0%
0,"alert pregnant women risk death kenyas curfew global pandemic news …
",-40.0%,40.0%
0," blacklivesmatter satchat ptech weareptech open dialo…
",0.0%,0.0%
0,"check us spotify well  gospelhouse  godgotthis …
",20.0%,20.0%
0,"could double vaccine delivery mechanism borisjohnson matthancock pritipatel
",0.0%,0.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"opindiacom heir joker laluprasadrjd yadavtejashwi little knowledge mygovindia thinks…
",-60.0%,60.0%
0,"sign alert stop deadly mass killing animals university labs due
",-60.0%,60.0%
0,"jennfranconews realdonaldtrump look interests also interests…
",-10.0%,10.0%
0,"latest islam islamism berkleyforum
",0.0%,0.0%
0,"hope usa trump vilifying usps amazon republicans premium stock catering postmaster w…
",0.0%,0.0%
0,"andhrapradesh reports  new cases saturday tally goes  death toll increase…
",-20.0%,20.0%
0,"andorra total  confirmed deaths
",0.0%,0.0%
0,"fordnation please dont go bunch storm troopers migrant workers afraid deported so…
",-80.0%,80.0%
0,"wear face cover pay £ fine new laws imposed london london lol chose cover
",-10.0%,10.0%
0,"covidupdates ap records many  new cases last  hours taking tally   deaths wer…
",20.0%,20.0%
0,"remember drumpf said texasisheeling well theyre getting screwed several times mentio…
",-80.0%,80.0%
0,"ringway preston  may   july  releasing another video weekend past co…
",0.0%,0.0%
0,"statistics pic gives info assam performing better odisha fight …
",10.0%,10.0%
0,"masks social distancing crowded falls attractions cbc news
",-20.0%,20.0%
0,"think i’m buying rumours us locked restricted  years forget it…
",-70.0%,70.0%
0,"realdonaldtrump remember worstpresidentinhistory   million cases millions u…
",-30.0%,30.0%
0,"increased testing samples fatality rate significantly dropped  saturday an…
",10.0%,10.0%
0,"cdc changes guidance long people need isolated via nbcnews theyhavenoidea
",-40.0%,40.0%
0," plea mask wearers read many nomasks don’t want blindly follow “govt” edicts on…
",-80.0%,80.0%
0,"mp cm shivrajsinghchouhan tested positive theres news bcoz many ministers wel…
",20.0%,20.0%
0," never rise beyond level knowledge must keep acquiring new helpful informatio…
",30.0%,30.0%
0,"two students tested positive taking act oklahoma high school…
",-10.0%,10.0%
0,"sending science deniers home fellow magats 
",10.0%,10.0%
0,"homemade cloth face masks likely need minimum two layers preferably three prevent dispersal v…
",10.0%,10.0%
0,"diediktatur fatemperor  rehearsal
",10.0%,10.0%
0,"andhrapradesh andhra pradesh registered singleday spike  positive cases  deaths last …
",10.0%,10.0%
0,"well dealing outbreak survey developed psychologists around world p…
",10.0%,10.0%
0,"thing lightskinned every bruise body seen mars plus fact you…
",-10.0%,10.0%
0,"actor vishalkofficial father mrgkreddy tested positive  days back vishal s…
",0.0%,0.0%
0,"pawankalyan resuming movie shootings latest interview janasena powerstar vakeelsaab
",0.0%,0.0%
0,"another wwe employee contracted via pwcdeez wwe wrestlemania
",-20.0%,20.0%
0,"thats got productive quarantine hard assignments quizzes productive …
",80.0%,80.0%
0,"order help people opting home isolation tribeca care come remote monitoring package cont…
",10.0%,10.0%
0,"restriction extended kupwara till  august coronavirusupdate  pandamic
",-10.0%,10.0%
0,"nbcnews  press knock whole “change tone” week trump it’s…
",-70.0%,70.0%
0,"big thank team cenit college nass ongoing support adr exams due re…
",80.0%,80.0%
0,"new personal view need sustainable biobanking networks diseases epidemic potential
",-30.0%,30.0%
0,"worsened already dire opioid crisis fewer social supports people battling addictions mu…
",-80.0%,80.0%
0,"passengers cheer ‘karen’ kicked flight refusing wear mask airlines mask
",-30.0%,30.0%
0,"corona alert four arrivals chennai tested positive raising total sri lanka …
",0.0%,0.0%
0,"oh fvck’s sake cnn sarahcwestwood stop bs trump changed tone foxnews cnn weeke…
",-70.0%,70.0%
0,"teachers dealing gettin students virtual class parents help eithe…
",0.0%,0.0%
0,"nycaudubon audubon saturdaymorning saturdayvibes saturdaythoughts saturdaymotivation free shipping…
",40.0%,40.0%
0,"orangebaboon wants make sure  dead end july   dea…
",-50.0%,50.0%
0,"america go land free home brave land acquiescent home f…
",-10.0%,10.0%
0,"rfk jr soars phenomenal read lack scientific testing behind vaccine development
",10.0%,10.0%
0,"together one economicrecovery
",20.0%,20.0%
0,"weve progressed point joking thats goodnow could get sort o…
",-20.0%,20.0%
0,"forwardarc realdonaldtrump vp us doesn’t lock we’re stupid reap sowed c…
",-80.0%,80.0%
0,"lets packem schools late summerfall big mistake young always major disease vecto…
",-60.0%,60.0%
0,"funder cannot imagine american right state mind ever voting lump mass unless theyre membe…
",-60.0%,60.0%
0,"schools reopen spread biblical scale
",30.0%,30.0%
0,"hello dorathians lets hit  followers twitter kindly retweet follow 
",0.0%,0.0%
0,"coimbatore district administration announcing complete lockdown  pm saturday till  monday h…
",-30.0%,30.0%
0,"realdonaldtrump   million cases millions unemployed trumppandemicfailure…
",-10.0%,10.0%
0,"cheap viruskilling spray costs pennies could end britains nightmare
",-80.0%,80.0%
0,"one roles survelliance team play community respond also support women girls ex…
",10.0%,10.0%
0,"hurricane may hit area major spread full hospitals need
",-10.0%,10.0%
0,"day  freepalestine palestinians still danger palestinianslivesmatter endapartheidnow…
",-60.0%,60.0%
0,"srv group hospitals dedicated making neighborhood healthy book appointmentr srv experts call …
",40.0%,40.0%
0," new cases  new deaths uzbekistan  gmt coronavirusupdate coronaviruspandemic
",0.0%,0.0%
